,Epoch,train_loss,train_triplet_loss,train_mae_loss,val_rmse,test_rmse,train_rmse,n_triplets,n_pos_triplets,train_n_pos_triplets,val_n_pos_triplets,test_n_pos_triplets,seed,backbone,loss
0,732,0.0178837822156923,482.122525499132,0.0178837822156923,0.7099196314811707,0.6375674605369568,0.1343115717172622,406026,158248,155548,141062,137396,8,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
1,765,0.0127848737355735,496.9557599103009,0.0127848737355735,0.7863758206367493,0.6796048879623413,0.0968188196420669,409764,167019,163926,156362,147305,16,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
2,788,0.0088903985241497,547.6094829191985,0.0088903985241497,0.7332903146743774,0.7872591614723206,0.0786695778369903,408255,163165,161986,150538,155432,24,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
3,624,0.020836426726094,834.1781702112269,0.020836426726094,0.7295857667922974,0.6884348392486572,0.1291685253381729,404787,172361,172266,166146,160482,42,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
4,734,0.0135269421587387,500.4891536458333,0.0135269421587387,0.6611558794975281,0.7143922448158264,0.1122208759188652,403740,163394,162643,144932,150780,64,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
5,707,0.0096029911135081,532.7506922743056,0.0096029911135081,0.6607736945152283,0.7826378345489502,0.1036573722958564,406589,169141,169269,143578,152545,128,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
6,758,0.0109848404179016,586.9079680718316,0.0109848404179016,0.669933557510376,0.7288563847541809,0.0864952206611633,406733,165103,164474,152366,154493,256,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
7,539,0.0103764058428782,549.0792258933739,0.0103764058428782,0.7167853116989136,0.6318657398223877,0.1040174216032028,405361,162944,164988,150020,152001,512,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
8,779,0.0147108011540991,564.9745277235243,0.0147108011540991,0.7180156111717224,0.7134897708892822,0.0740757137537002,406344,162013,162112,156412,157872,1024,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
9,31,0.2502086956412704,1124.865753219039,0.2502086956412704,0.7229769825935364,0.7989584803581238,0.5019834637641907,406852,165317,174495,145087,141692,2048,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
10,60,0.1860573193762037,194.784704928928,0.1860573193762037,0.6594454050064087,0.6544917225837708,0.4190886914730072,406034,150330,147801,136482,134773,8,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
11,142,0.0556567031476232,211.42114047580296,0.0556567031476232,0.62276291847229,0.726815938949585,0.2107576578855514,406223,156354,154563,137836,149139,16,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
12,762,0.0118664889258367,178.4760031467014,0.0118664889258367,0.6887232065200806,0.678675651550293,0.051439844071865,407729,155028,154314,152284,144897,24,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
13,69,0.1598519365875809,177.16690893102574,0.1598519365875809,0.6957345008850098,0.6892003417015076,0.3821872472763061,406597,149262,147792,129596,134830,42,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
14,775,0.0143646062227586,194.86635696976276,0.0143646062227586,0.6632862091064453,0.69866544008255,0.1469195038080215,404968,160561,160164,153934,151121,64,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
15,90,0.188021962598518,183.7439535635489,0.188021962598518,0.6497690677642822,0.6458130478858948,0.4069095551967621,407094,142814,141953,130506,136996,128,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
16,757,0.0060024471636171,163.92988242820456,0.0060024471636171,0.623941957950592,0.6683191061019897,0.055105336010456,407272,166424,168159,152242,148762,256,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
17,794,0.0088361301107539,161.11178857873986,0.0088361301107539,0.6665390729904175,0.7256322503089905,0.0705723837018013,405759,154353,155459,142706,147314,512,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
18,675,0.0077944766895638,190.7292340992115,0.0077944766895638,0.6609105467796326,0.6092033386230469,0.0715802684426307,403228,160018,160704,141909,145912,1024,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
19,122,0.1062747876732437,215.15779100206163,0.1062747876732437,0.6895059943199158,0.6799517869949341,0.2936727404594421,404796,145924,142188,136533,137167,2048,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
20,167,0.0578421918661506,167.9861698404948,0.0578421918661506,0.6753491759300232,0.6651617884635925,0.2154261618852615,406050,162166,162306,147163,138732,8,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
21,157,0.0707420138959531,178.50370564778646,0.0707420138959531,0.6305850148200989,0.7754790186882019,0.2456668317317962,406948,156681,156705,142685,143132,16,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
22,754,0.0052557880348629,184.1510354049117,0.0052557880348629,0.7665533423423767,0.6949399709701538,0.0569005012512207,407198,162769,161235,149626,150849,24,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
23,138,0.0774753429161177,153.10144024884258,0.0774753429161177,0.7462891936302185,0.7625172734260559,0.2570246160030365,406692,148413,146428,145310,144409,42,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
24,125,0.0974780454679771,163.23979955602576,0.0974780454679771,0.6675516963005066,0.7294957637786865,0.2999893426895141,405827,157171,158109,147410,149423,64,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
25,797,0.0068245272448769,138.32390335648148,0.0068245272448769,0.699324905872345,0.7138567566871643,0.0376956537365913,408741,166814,165807,150497,152758,128,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
26,745,0.0054460639120252,134.39154606571904,0.0054460639120252,0.6551372408866882,0.7422654628753662,0.0753178820014,407644,160716,162052,147607,150671,256,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
27,111,0.1296639483835962,165.2146973108362,0.1296639483835962,0.6815389394760132,0.6777493357658386,0.3463377356529236,403579,155773,155528,142203,146091,512,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
28,796,0.0047530209390377,162.18407756664135,0.0047530209390377,0.7428234219551086,0.670927107334137,0.0576273836195468,405308,167235,168566,153565,153691,1024,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
29,115,0.1594946104067343,184.99419544361257,0.1594946104067343,0.699428915977478,0.6376811265945435,0.3884383738040924,406036,154414,151344,135271,138933,2048,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
30,125,0.1302669115861257,404.4619627549913,0.1302669115861257,0.6877230405807495,0.6932075619697571,0.3216489851474762,406727,167572,165747,152787,142011,8,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
31,225,0.0392125634793882,296.6619722041377,0.0392125634793882,0.6846567988395691,0.6701233983039856,0.153982326388359,408580,165062,165184,142011,150209,16,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
32,393,0.0206610171303704,367.2653878219039,0.0206610171303704,0.7508749961853027,0.7389084696769714,0.1010698899626731,408818,175431,173264,156172,156302,24,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
33,103,0.1323284280520898,294.2024928114149,0.1323284280520898,0.6989325284957886,0.7414717078208923,0.334686130285263,402785,161083,161630,148272,147711,42,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
34,91,0.1466625187132093,395.25297119140623,0.1466625187132093,0.6466302275657654,0.6072773933410645,0.3505125343799591,404510,169824,170094,153076,148722,64,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
35,53,0.2668280779873883,354.9123586697049,0.2668280779873883,0.7333478331565857,0.8123332262039185,0.4983358681201935,404710,158103,161770,138085,143759,128,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
36,796,0.0169869618117809,367.5100192599826,0.0169869618117809,0.6370711922645569,0.7825465798377991,0.0971903279423713,405522,166328,167326,151775,161226,256,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
37,767,0.0123836379856974,332.3685660807292,0.0123836379856974,0.7061440944671631,0.6869142651557922,0.0957987979054451,407700,171463,170100,149870,154565,512,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
38,785,0.0116952122858277,293.8199363425926,0.0116952122858277,0.7605366706848145,0.791516900062561,0.1152898669242858,408867,172989,171433,151149,159756,1024,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
39,779,0.0102518529362148,326.927538067853,0.0102518529362148,0.7129102945327759,0.7242249846458435,0.1023782268166542,406076,174906,175271,157852,152095,2048,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
40,786,0.0843403382875301,0.0496800533378565,0.0346602849496735,0.6296090483665466,0.6068307161331177,0.1220579445362091,406431,13845,11685,127781,135204,8,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
41,529,0.1040486190495667,0.074782620800866,0.0292659969324315,0.7586188316345215,0.6192492842674255,0.139642059803009,408639,18191,16519,159491,134777,16,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
42,769,0.0583079231889159,0.0330976877251157,0.0252102348373995,0.6744991540908813,0.7169042825698853,0.121294692158699,408959,9983,9256,123961,146566,24,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
43,200,0.6904717710283067,0.5574680119973642,0.1330037490085319,0.696868896484375,0.629317581653595,0.3574850559234619,403707,64387,56889,143789,130497,42,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
44,226,0.4524443453329581,0.3553773176670074,0.0970670284386034,0.6286529302597046,0.7371818423271179,0.2942829132080078,404692,55527,53691,142350,159638,64,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
45,270,0.3314985480131926,0.2678622381996225,0.0636363033288055,0.6579901576042175,0.6961520910263062,0.2471476942300796,403447,47672,48901,143479,152878,128,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
46,220,0.3779543967600222,0.2931521519908198,0.084802239757997,0.6558581590652466,0.6388561725616455,0.2705625593662262,403792,44270,43755,152585,138292,256,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
47,211,0.523044905839143,0.3970432912420343,0.1260016109987541,0.652718186378479,0.6410847306251526,0.3165566325187683,406124,54063,52412,130055,133613,512,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
48,324,0.2492110250614307,0.1800415369316383,0.0691694856904171,0.6452253460884094,0.6562997698783875,0.2117201685905456,407453,34574,34852,153685,153807,1024,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
49,737,0.0697500455379486,0.05157346614533,0.0181765795526681,0.6895473599433899,0.7025225758552551,0.1176434755325317,406897,13797,10994,137728,138107,2048,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
50,239,1.827365944473832,1.6274510832186098,0.199914847391623,0.6101847887039185,0.6245689392089844,0.3884787857532501,403778,92536,88703,132722,137266,8,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
51,567,0.5738477809340865,0.4876579962836371,0.0861897903018527,0.6053037643432617,0.6894235610961914,0.2571393549442291,406967,52833,49747,124090,143699,16,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
52,723,0.3930553273359934,0.3433839950738129,0.0496713301429042,0.6864220499992371,0.6452459096908569,0.2054483294486999,409096,33115,29286,136048,128617,24,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
53,128,2.406571931132564,2.148293317865442,0.258278621479317,0.7086937427520752,0.6582339406013489,0.4860309362411499,405324,82888,75571,137445,124395,42,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
54,288,1.114085698834172,0.9706158203548856,0.1434699095620049,0.614158034324646,0.6362241506576538,0.3636920154094696,406633,70075,66502,137340,131553,64,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
55,473,1.330025968728242,1.2133938259548611,0.1166321426409262,0.6245495080947876,0.6659981608390808,0.2975689172744751,409738,70268,63223,143062,148929,128,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
56,418,1.6297486637256764,1.5220515385380498,0.1076971280243661,0.6336086988449097,0.6328467130661011,0.3028968870639801,407078,51252,49423,125911,108891,256,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
57,238,1.69657507331283,1.5454251956939695,0.1511498714597136,0.6487908363342285,0.6677876114845276,0.3914571702480316,404780,75203,73355,134996,137268,512,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
58,793,0.4131575793248636,0.3627159601229208,0.0504416121376885,0.6462823748588562,0.6063763499259949,0.200250893831253,403896,36932,32744,134571,124801,1024,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
59,512,0.5922728501425849,0.5264172485139635,0.065855619808038,0.6423910856246948,0.6436415314674377,0.2384101152420044,407358,37035,34729,125340,121472,2048,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
60,600,0.6000450841585795,0.5320780798240944,0.0679670107585412,0.637127697467804,0.6102197766304016,0.2435429394245147,408488,38682,36414,118262,124460,8,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
61,765,0.5403328044326217,0.4669651406341129,0.073367656800482,0.6271845698356628,0.7224523425102234,0.2277712374925613,406142,36461,32691,131394,136746,16,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
62,323,1.4349414083692762,1.3192210607175474,0.1157203473868193,0.6762304902076721,0.6559616327285767,0.3265553712844848,408043,52453,51144,131483,135387,24,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
63,525,0.6979740547250818,0.6060768750861839,0.0918971886347841,0.7368654608726501,0.6869255900382996,0.2461159974336624,406972,36234,30773,129411,127013,42,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
64,720,0.518137103539926,0.4537944764119607,0.0643426164653566,0.6550953388214111,0.6785695552825928,0.2138065844774246,407199,31731,26839,128059,129469,64,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
65,751,0.3843686708697566,0.3371088501259132,0.0472598145129504,0.6793084144592285,0.6390634179115295,0.2004680186510086,406362,30137,25584,131252,131999,128,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
66,506,0.7569472366792185,0.6842475699495386,0.0726996621710282,0.6713268160820007,0.8647560477256775,0.2569584548473358,405661,40624,37552,135366,131153,256,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
67,414,1.2141631497277154,1.095068339418482,0.1190948286762944,0.6315266489982605,0.6102097034454346,0.3000449538230896,404463,50878,47991,122378,129238,512,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
68,773,0.5101179029323437,0.4524740517580951,0.0576438601039074,0.7116409540176392,0.6724748611450195,0.2085844874382019,407215,32150,27844,130241,132244,1024,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
69,679,0.5165740032549258,0.4509182928226612,0.0656557195495676,0.6457498669624329,0.635997474193573,0.2280559092760086,406389,31239,28235,133534,126315,2048,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
70,795,1.2032422002156575,1.1119072223592688,0.0913349749092702,0.6218394041061401,0.6185819506645203,0.2454933524131775,407142,44237,36915,112839,117735,8,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
71,684,1.470072737093325,1.3349309317270914,0.1351418044611259,0.6692878603935242,0.6562606692314148,0.3109665215015411,407831,54510,50398,111274,123436,16,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
72,791,1.240774402441802,1.137756876062464,0.1030175112243051,0.7812662720680237,0.7603068351745605,0.2783916890621185,409033,48357,42486,133457,115072,24,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
73,119,12.382033274615251,12.103788172403972,0.2782451746640382,0.6777148246765137,0.7217230200767517,0.510314404964447,403249,95323,91759,117858,120719,42,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
74,362,3.6230012455693,3.436819575274432,0.1861816191894036,0.6135292053222656,0.5772417783737183,0.4137388169765472,407902,80764,75628,122716,110736,64,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
75,260,5.125065480691415,4.895221178973163,0.2298443710803985,0.684633195400238,0.7112127542495728,0.4320496618747711,404744,79468,74817,110498,123740,128,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
76,252,5.572319212313052,5.343729799058703,0.2285894397011509,0.6055974960327148,0.758741557598114,0.4401656985282898,407901,81108,74327,105241,132457,256,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
77,603,1.8674758911132807,1.7279138413182011,0.1395620745861971,0.6332016587257385,0.646915853023529,0.3472284972667694,407846,70235,63106,121394,130114,512,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
78,782,0.9837918655960648,0.8742172638575236,0.1095745857998176,0.5838320851325989,0.7111420035362244,0.2906967103481293,406218,52735,49337,119451,133619,1024,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
79,727,1.2591746003539477,1.161453530081996,0.0977210740027604,0.6903110146522522,0.6849915981292725,0.277049720287323,407420,50376,45932,134072,117063,2048,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
