,dataset,cl,cu,rmse,rmse_err,n,n1
0,CHEMBL1871_Ki,0.1,0.5,0.7346550318929884,0.0101771390460789,5597006,5597006
1,CHEMBL1871_Ki,0.1,1.0,0.7518774774339464,0.006608978492938,3763354,3762657
2,CHEMBL1871_Ki,0.1,1.5,0.7524906211429171,0.010476837288412,2310084,2310084
3,CHEMBL1871_Ki,0.1,2.0,0.7565365023083158,0.0128687434372425,1195417,1195032
4,CHEMBL1871_Ki,0.1,2.5,0.7639413780636257,0.0050154005911574,435765,435765
5,CHEMBL1871_Ki,0.1,3.0,0.7577519589000278,0.0124797966081799,109391,109059
6,CHEMBL1871_Ki,0.1,3.5,0.7683544529808892,0.0108015698112753,17366,17366
7,CHEMBL1871_Ki,0.1,4.0,0.787216375933753,0.0139976710639086,969,930
8,CHEMBL1871_Ki,0.15,0.5,0.7457881463898554,0.0069933601700027,8428173,8428173
9,CHEMBL1871_Ki,0.2,0.5,0.735493610964881,0.0024537869101215,11278436,11278436
10,CHEMBL1871_Ki,0.25,0.5,0.7498504042625428,0.0049209984354234,14026471,14026471
11,CHEMBL1871_Ki,0.3,0.5,0.7422412872314453,0.0102072177724337,16481940,16481940
12,CHEMBL1871_Ki,0.35,0.5,0.741616408030192,0.0045190773355825,19399555,19399555
13,CHEMBL1871_Ki,0.4,0.5,0.7355087015363905,0.0081472441134476,22154617,22154617
14,CHEMBL1871_Ki,0.45,0.5,0.7420605036947462,0.0162076263830791,24763882,24763882
0,CHEMBL218_EC50,0.1,0.5,0.7408684505356682,0.005833918230564,20930103,20940267
1,CHEMBL218_EC50,0.1,1.0,0.7373817192183599,0.0084287491234395,13601230,13612401
2,CHEMBL218_EC50,0.1,1.5,0.7426029311286079,0.0056066555787371,7871183,7877469
3,CHEMBL218_EC50,0.1,2.0,0.7552397608757019,0.0037072342009229,4033785,4037750
4,CHEMBL218_EC50,0.1,2.5,0.749996178679996,0.0063927712856777,1709904,1712711
5,CHEMBL218_EC50,0.1,3.0,0.7525514748361375,0.002338383745627,630254,631432
6,CHEMBL218_EC50,0.1,3.5,0.7489674197302926,0.0118202576621384,188708,189268
7,CHEMBL218_EC50,0.1,4.0,0.7487549821535747,0.0068864283025967,55738,55882
8,CHEMBL218_EC50,0.21,1.0,0.7397367199261983,0.0049851414341309,28456876,28463818
9,CHEMBL218_EC50,0.33,1.0,0.7305414623684353,0.0123829681895636,44367894,44378707
10,CHEMBL218_EC50,0.44,1.0,0.7429335474967956,0.0036553951155854,58769794,58784136
11,CHEMBL218_EC50,0.55,1.0,0.7534019549687704,0.0085674422124665,72818058,72835879
12,CHEMBL218_EC50,0.66,1.0,0.745947249730428,0.005588111077484,86744196,86765412
13,CHEMBL218_EC50,0.78,1.0,0.7338728560341728,0.0047411927247612,101471998,101496474
14,CHEMBL218_EC50,0.89,1.0,0.7371177064047919,0.0019044698089333,114610416,114638038
0,CHEMBL244_Ki,0.1,0.5,0.8089756859673395,0.0035845878915529,420905498,29900126
1,CHEMBL244_Ki,0.1,1.0,0.8170222653283014,0.0094051013764135,338984436,24061582
2,CHEMBL244_Ki,0.1,1.5,0.8152252991994221,0.0031107803831134,265501618,18896540
3,CHEMBL244_Ki,0.1,2.0,0.8149845692846509,0.0025615515834047,202735921,14478904
4,CHEMBL244_Ki,0.1,2.5,0.8209109822909036,0.0074377875460391,148107614,10612928
5,CHEMBL244_Ki,0.1,3.0,0.8223361796802945,0.0100266472693683,101395162,7369318
6,CHEMBL244_Ki,0.1,3.5,0.819918429851532,0.0036166530306975,62214407,4581936
7,CHEMBL244_Ki,0.1,4.0,0.830175064669715,0.0057172782876991,33619970,2487637
8,CHEMBL244_Ki,0.15,0.5,0.8088962290022109,0.0008831150333159,627738488,44554936
9,CHEMBL244_Ki,0.2,0.5,0.8144886824819776,0.0029155081580294,831693513,58960864
10,CHEMBL244_Ki,0.25,0.5,0.8076433791054619,0.0046863704621566,1040923328,73796508
11,CHEMBL244_Ki,0.3,0.5,0.8072481022940741,0.0028999521924053,1228260329,87062480
12,CHEMBL244_Ki,0.35,0.5,0.8039066712061564,0.00576772234234,1452332863,103077071
13,CHEMBL244_Ki,0.4,0.5,0.8103456815083822,0.0030066416436774,1664574544,118029318
14,CHEMBL244_Ki,0.45,0.5,0.8044811142815483,0.0014642235899339,1861451730,131940924
0,CHEMBL236_Ki,0.1,0.5,0.7190488497416179,0.0064768058160776,284874929,34025189
1,CHEMBL236_Ki,0.1,1.0,0.7196368945969476,0.001753615653798,212847078,25421787
2,CHEMBL236_Ki,0.1,1.5,0.7202863732973733,0.0049184772827368,148030207,17773552
3,CHEMBL236_Ki,0.1,2.0,0.7214694645669725,0.004796375045697,95426546,11495085
4,CHEMBL236_Ki,0.1,2.5,0.7199343694580925,0.0037477257433131,56513941,6774941
5,CHEMBL236_Ki,0.1,3.0,0.7245696332719591,0.0010110412399736,30342629,3674809
6,CHEMBL236_Ki,0.1,3.5,0.7257638096809388,0.0012256803739828,14280706,1774902
7,CHEMBL236_Ki,0.1,4.0,0.7445832000838385,0.0027365539019487,5590140,726939
8,CHEMBL236_Ki,0.15,0.5,0.7239932007259792,0.0049363798161339,423869278,51124293
9,CHEMBL236_Ki,0.2,0.5,0.7187933325767516,0.00592594283526,560858656,67402705
10,CHEMBL236_Ki,0.25,0.5,0.714294085237715,0.0068542942959077,706542188,84792336
11,CHEMBL236_Ki,0.3,0.5,0.7178788794411552,0.001921913377883,844276820,100972068
12,CHEMBL236_Ki,0.35,0.5,0.720741379261017,0.0042688119677599,984137335,117943115
13,CHEMBL236_Ki,0.4,0.5,0.7205130457878113,0.0006162657512922,1118548720,134143811
14,CHEMBL236_Ki,0.45,0.5,0.7168506847487556,0.0051265950531312,1256505242,150294465
0,CHEMBL234_Ki,0.1,0.5,0.6905322684182061,0.0029181796074578,866877696,37537573
1,CHEMBL234_Ki,0.1,1.0,0.6917901555697124,0.0034297112503414,608344166,26067066
2,CHEMBL234_Ki,0.1,1.5,0.6944474405712552,0.0025373746282801,398982314,17141131
3,CHEMBL234_Ki,0.1,2.0,0.6996982839372423,0.0049835944725359,239732004,10377043
4,CHEMBL234_Ki,0.1,2.5,0.7065071331130134,0.0014434736091037,125133787,5473771
5,CHEMBL234_Ki,0.1,3.0,0.7051445576879715,0.0033969851907447,54344402,2412227
6,CHEMBL234_Ki,0.1,3.5,0.7125776052474975,0.0044073626075705,18723521,878868
7,CHEMBL234_Ki,0.1,4.0,0.719157428211636,0.0019904554509274,5037982,238398
8,CHEMBL234_Ki,0.15,0.5,0.6914334919717576,0.0050680773878012,1309251669,56365700
9,CHEMBL234_Ki,0.2,0.5,0.694692473941379,0.004883533772104,1738979403,75345879
10,CHEMBL234_Ki,0.25,0.5,0.6898282859060499,0.0025011544180996,2170384905,93793228
11,CHEMBL234_Ki,0.3,0.5,0.6883857025040521,0.0015337318187834,2599764891,112308552
12,CHEMBL234_Ki,0.35,0.5,0.6876049518585207,0.0087009530422329,3026337139,130564219
13,CHEMBL234_Ki,0.4,0.5,0.6899618731604682,0.0018673913629152,3445642036,148258988
14,CHEMBL234_Ki,0.45,0.5,0.6904580818282233,0.0015529194797733,3870278179,166651516
0,CHEMBL219_Ki,0.1,0.5,0.7746774249606663,0.0049558325458584,122262091,39311128
1,CHEMBL219_Ki,0.1,1.0,0.7722431580225626,0.0080651299717619,80598323,26327781
2,CHEMBL219_Ki,0.1,1.5,0.7778113669819303,0.018703557457639,47299426,15789154
3,CHEMBL219_Ki,0.1,2.0,0.7817472537358602,0.0067784373828015,24616982,8446667
4,CHEMBL219_Ki,0.1,2.5,0.7953639414575365,0.0104742702322397,10722978,3788929
5,CHEMBL219_Ki,0.1,3.0,0.7991518179575602,0.0012941903373703,3861172,1374659
6,CHEMBL219_Ki,0.1,3.5,0.8110183715820313,0.0079723743728117,1027451,349171
7,CHEMBL219_Ki,0.1,4.0,0.860672124226888,0.0177898010451207,237574,71077
8,CHEMBL219_Ki,0.21,1.0,0.7757986439598931,0.0075492866996715,169928547,55513154
9,CHEMBL219_Ki,0.33,1.0,0.7663187252150641,0.0048437585039462,265315831,86776593
10,CHEMBL219_Ki,0.44,1.0,0.7757850461535983,0.0121734650386532,352172778,114999829
11,CHEMBL219_Ki,0.55,1.0,0.7732344839307997,0.0038808032505462,436289258,142362524
12,CHEMBL219_Ki,0.66,1.0,0.7682567384507921,0.0075108590536087,520007320,169855653
13,CHEMBL219_Ki,0.78,1.0,0.7759255594677396,0.0106693620966789,609299463,198913338
14,CHEMBL219_Ki,0.89,1.0,0.765427847703298,0.0024425523256011,687814502,224352686
0,CHEMBL238_Ki,0.1,0.5,0.7397444857491388,0.0076710954452158,22544617,22546014
1,CHEMBL238_Ki,0.1,1.0,0.737153834766812,0.009963183605664,15520211,15527593
2,CHEMBL238_Ki,0.1,1.5,0.744606175687578,0.0086879599173437,9966595,9967437
3,CHEMBL238_Ki,0.1,2.0,0.7342677566740248,0.0060116966215657,5407806,5408624
4,CHEMBL238_Ki,0.1,2.5,0.7544623070293003,0.0037091630512429,2417329,2417715
5,CHEMBL238_Ki,0.1,3.0,0.7516204237937928,0.0071957109316743,788744,788491
6,CHEMBL238_Ki,0.1,3.5,0.7490464011828104,0.0116612599398765,177105,177174
7,CHEMBL238_Ki,0.1,4.0,0.7692208488782247,0.0083732889965471,18771,18764
8,CHEMBL238_Ki,0.34,2.0,0.7398141264915467,0.0075483075057131,18197300,18198091
9,CHEMBL238_Ki,0.58,2.0,0.7288903991381327,0.0101026334158374,29670291,29671519
10,CHEMBL238_Ki,0.81,2.0,0.7293494449721442,0.0108934225506452,39909534,39911051
11,CHEMBL238_Ki,1.05,2.0,0.7335976428455776,0.0068724767874294,49352491,49354296
12,CHEMBL238_Ki,1.29,2.0,0.7334414429134793,0.0006523682393056,58109101,58111313
13,CHEMBL238_Ki,1.52,2.0,0.7347857409053379,0.0079391201908121,66285870,66288725
14,CHEMBL238_Ki,1.76,2.0,0.7276982890235053,0.0022596623969873,74565462,74569340
0,CHEMBL4203_Ki,0.1,0.5,0.7688272767596774,0.0124082984941248,7728334,7804068
1,CHEMBL4203_Ki,0.1,1.0,0.7748736394776238,0.0156782901390006,4765494,4833028
2,CHEMBL4203_Ki,0.1,1.5,0.7812048474947613,0.0056351975415479,2732758,2775540
3,CHEMBL4203_Ki,0.1,2.0,0.7855315340889825,0.0051452446516991,1345534,1376046
4,CHEMBL4203_Ki,0.1,2.5,0.7933195961846246,0.0014731726145666,517846,536606
5,CHEMBL4203_Ki,0.1,3.0,0.8010082893901401,0.0011434291246827,147117,157691
6,CHEMBL4203_Ki,0.1,3.5,0.8048864669269986,0.0030763661166371,28822,32480
7,CHEMBL4203_Ki,0.1,4.0,0.8069249404801262,0.0060133087003775,5045,6231
8,CHEMBL4203_Ki,0.15,0.5,0.7672197447882758,0.0034482582976763,11235227,11235227
9,CHEMBL4203_Ki,0.2,0.5,0.771842426723904,0.0113363759171603,15237382,15230440
10,CHEMBL4203_Ki,0.25,0.5,0.7673823131455314,0.0019490100559397,18461226,18461226
11,CHEMBL4203_Ki,0.3,0.5,0.7672345664766099,0.0071836468738183,23196231,23115420
12,CHEMBL4203_Ki,0.35,0.5,0.7728858285480076,0.0027122712807918,25738497,25738497
13,CHEMBL4203_Ki,0.4,0.5,0.7702577074368794,0.0012288406803304,29682670,29711215
14,CHEMBL4203_Ki,0.45,0.5,0.7621464027298822,0.0046494397383897,32989755,32989755
0,CHEMBL2047_EC50,0.1,0.5,0.6941507008340624,0.0144571615331333,5079800,5079800
1,CHEMBL2047_EC50,0.1,1.0,0.6798334121704102,0.0086141538426381,3126569,3129266
2,CHEMBL2047_EC50,0.1,1.5,0.6930918746524387,0.003268038274817,1674547,1674547
3,CHEMBL2047_EC50,0.1,2.0,0.694314283794827,0.0061792275565391,774638,775012
4,CHEMBL2047_EC50,0.1,2.5,0.6979382197062175,0.0123725236303438,306013,306013
5,CHEMBL2047_EC50,0.1,3.0,0.7039800445238749,0.0009001130462773,112631,112586
6,CHEMBL2047_EC50,0.1,3.5,0.7058734112315709,0.0016646365536686,38673,38673
7,CHEMBL2047_EC50,0.1,4.0,0.7239615427123175,0.0048768376872186,13844,13782
8,CHEMBL2047_EC50,0.21,1.0,0.6875260326597427,0.0055236283129859,6474043,6479269
9,CHEMBL2047_EC50,0.33,1.0,0.6938252422544692,0.0080059536363226,10034540,10042741
10,CHEMBL2047_EC50,0.44,1.0,0.6860482494036358,0.003464469697042,13258140,13269265
11,CHEMBL2047_EC50,0.55,1.0,0.6780791269408333,0.0064360304738291,16516185,16530086
12,CHEMBL2047_EC50,0.66,1.0,0.6781896670659383,0.0042738897177423,19688530,19704849
13,CHEMBL2047_EC50,0.78,1.0,0.6905160546302795,0.0038672982245377,23037606,23056792
14,CHEMBL2047_EC50,0.89,1.0,0.6906928194893731,0.0040865330464359,25842192,25863378
0,CHEMBL4616_EC50,0.1,0.5,0.7291210876570807,0.0042213090460374,6379620,6379620
1,CHEMBL4616_EC50,0.1,1.0,0.7278617183367411,0.0078834459297775,3907761,3915834
2,CHEMBL4616_EC50,0.1,1.5,0.7381121344036526,0.0030858752888889,1966287,1966287
3,CHEMBL4616_EC50,0.1,2.0,0.7417089038425022,0.0089087781024269,900671,903408
4,CHEMBL4616_EC50,0.1,2.5,0.7429930329322815,0.0089740662706384,308620,308620
5,CHEMBL4616_EC50,0.1,3.0,0.7559254407882691,0.0068750705459104,86832,86820
6,CHEMBL4616_EC50,0.1,3.5,0.756442211733924,0.0131265387687996,25031,25031
7,CHEMBL4616_EC50,0.1,4.0,0.7790518813663058,0.0076192521871305,4109,4109
8,CHEMBL4616_EC50,0.21,1.0,0.7319803542561001,0.0045474563954074,8468049,8489221
9,CHEMBL4616_EC50,0.33,1.0,0.7307982352044847,0.0034594328435718,12896079,12928246
10,CHEMBL4616_EC50,0.44,1.0,0.7258413235346476,0.0047889797353237,16807357,16850339
11,CHEMBL4616_EC50,0.55,1.0,0.7268741713629829,0.0046060927167659,20650915,20705072
12,CHEMBL4616_EC50,0.66,1.0,0.7359385278489854,0.0024606615698618,24446494,24512954
13,CHEMBL4616_EC50,0.78,1.0,0.730097398493025,0.0033316031150238,28507442,28583451
14,CHEMBL4616_EC50,0.89,1.0,0.729069697856903,0.0062552290005463,32082169,32166405
0,CHEMBL2034_Ki,0.1,0.5,0.7008395168516371,0.0040594425982746,8379374,8379374
1,CHEMBL2034_Ki,0.1,1.0,0.7073386073112488,0.0063822899736634,5276734,5275973
2,CHEMBL2034_Ki,0.1,1.5,0.7224230594105191,0.0061746160899226,3403999,3403999
3,CHEMBL2034_Ki,0.1,2.0,0.7112072308858236,0.0156071476197623,2145448,2143578
4,CHEMBL2034_Ki,0.1,2.5,0.7207029090987311,0.0064534480561533,1239121,1239121
5,CHEMBL2034_Ki,0.1,3.0,0.7410396721627976,0.0021839184909036,584511,583598
6,CHEMBL2034_Ki,0.1,3.5,0.7276762180858188,0.0169455185552214,174128,174128
7,CHEMBL2034_Ki,0.1,4.0,0.7454865349663629,0.0178287580262017,24891,24724
8,CHEMBL2034_Ki,0.15,0.5,0.7024709065755208,0.0054901450678172,12565489,12565489
9,CHEMBL2034_Ki,0.2,0.5,0.7010065078735352,0.0049045964073844,16668643,16668643
10,CHEMBL2034_Ki,0.25,0.5,0.6988008856773377,0.0014964511440561,20550568,20550568
11,CHEMBL2034_Ki,0.3,0.5,0.7005334549480015,0.0104720437977937,24282599,24276209
12,CHEMBL2034_Ki,0.35,0.5,0.7042328781551784,0.0048889452906273,28353830,28353830
13,CHEMBL2034_Ki,0.4,0.5,0.7084774533907573,0.0045437273964146,32253394,32253394
14,CHEMBL2034_Ki,0.45,0.5,0.7071680969662136,0.005763273851615,35936881,35936881
0,CHEMBL262_Ki,0.1,0.5,0.8144144190682305,0.0037992441892451,13209680,13214958
1,CHEMBL262_Ki,0.1,1.0,0.8157918506198459,0.0011192201973399,8640258,8650998
2,CHEMBL262_Ki,0.1,1.5,0.8252130667368571,0.0085557575399624,5412580,5417601
3,CHEMBL262_Ki,0.1,2.0,0.8264253311687045,0.0101356098488237,2903413,2907172
4,CHEMBL262_Ki,0.1,2.5,0.8425135387314691,0.0076558292959849,1249491,1252166
5,CHEMBL262_Ki,0.1,3.0,0.8328981624709235,0.0049895510185229,436896,438814
6,CHEMBL262_Ki,0.1,3.5,0.8492877350913153,0.0086385961398477,149302,150762
7,CHEMBL262_Ki,0.1,4.0,0.8604856755998399,0.0015252587335351,40118,40653
8,CHEMBL262_Ki,0.15,0.5,0.8178076969252692,0.0066618704442661,18571376,18571376
9,CHEMBL262_Ki,0.2,0.5,0.8148240658971999,0.0018110631778816,24961063,24943723
10,CHEMBL262_Ki,0.25,0.5,0.8109299023946127,0.0019193295655563,30490355,30490355
11,CHEMBL262_Ki,0.3,0.5,0.8197000397576226,0.0017059869817854,37434114,37250562
12,CHEMBL262_Ki,0.35,0.5,0.8098525789048937,0.0027547051457084,42353876,42353876
13,CHEMBL262_Ki,0.4,0.5,0.8121254801750183,0.0076126218411083,48698031,48687669
14,CHEMBL262_Ki,0.45,0.5,0.802273095978631,0.0034221374249266,53734558,53734558
0,CHEMBL231_Ki,0.1,0.5,0.7180648008982341,0.0078787973993558,15402509,15406657
1,CHEMBL231_Ki,0.1,1.0,0.7151148862308926,0.0043206701708176,11162657,11176345
2,CHEMBL231_Ki,0.1,1.5,0.7263181381755405,0.0044402294579893,7501520,7504197
3,CHEMBL231_Ki,0.1,2.0,0.7193416065639919,0.0121917837297464,4615368,4619043
4,CHEMBL231_Ki,0.1,2.5,0.7410072154468961,0.0074001014763096,2495948,2497429
5,CHEMBL231_Ki,0.1,3.0,0.7350367426872254,0.0123073224122481,1157763,1158786
6,CHEMBL231_Ki,0.1,3.5,0.7377312620480856,0.000738180746904,437261,437767
7,CHEMBL231_Ki,0.1,4.0,0.7451819830470615,0.0072111175379335,134790,135036
8,CHEMBL231_Ki,0.21,1.0,0.7181944794125026,0.0062846109312933,24274014,24296028
9,CHEMBL231_Ki,0.33,1.0,0.7241169346703423,0.0111505406416425,37139989,37203568
10,CHEMBL231_Ki,0.44,1.0,0.7108168416553075,0.0112510670956951,49256958,49297374
11,CHEMBL231_Ki,0.55,1.0,0.7292415102322897,0.0013456956281125,61164183,61227940
12,CHEMBL231_Ki,0.66,1.0,0.7136076913939582,0.0035841474417197,72711461,72793086
13,CHEMBL231_Ki,0.78,1.0,0.710726421409183,0.0084276991763623,84832964,84921679
14,CHEMBL231_Ki,0.89,1.0,0.7182061751683553,0.0027195822242638,95775234,95877427
0,CHEMBL264_Ki,0.1,0.5,0.6801173011461894,0.005591273985431,435256974,39393032
1,CHEMBL264_Ki,0.1,1.0,0.6786700526873272,0.0030356111079782,285274667,25717525
2,CHEMBL264_Ki,0.1,1.5,0.6809147755304972,0.0041985088495692,168847983,15537938
3,CHEMBL264_Ki,0.1,2.0,0.6840927945242988,0.0007198501575831,90947396,8466935
4,CHEMBL264_Ki,0.1,2.5,0.6923808508449131,0.0013577166306825,43622234,4084603
5,CHEMBL264_Ki,0.1,3.0,0.6924963368309869,0.0061860328104933,18478085,1738917
6,CHEMBL264_Ki,0.1,3.5,0.7045245395766364,0.0073131159139843,6484345,612381
7,CHEMBL264_Ki,0.1,4.0,0.7095755497614543,0.0031745498265493,1783052,170726
8,CHEMBL264_Ki,0.21,1.0,0.6832926167382133,0.0033890443650037,596818465,54089895
9,CHEMBL264_Ki,0.33,1.0,0.682890510559082,0.0052383597649187,932639983,84437911
10,CHEMBL264_Ki,0.44,1.0,0.678111331992679,0.006375229108509,1241251706,112300927
11,CHEMBL264_Ki,0.55,1.0,0.6791498952441746,0.0035253698297708,1540274646,139322400
12,CHEMBL264_Ki,0.66,1.0,0.6736916581789653,0.0072806300391787,1837586118,166329366
13,CHEMBL264_Ki,0.78,1.0,0.6813983347680832,0.0009584851088258,2157204336,195048605
14,CHEMBL264_Ki,0.89,1.0,0.6779322412278916,0.0015709139960209,2434624688,220099563
0,CHEMBL2835_Ki,0.1,0.5,0.5251536395814684,0.017915032209036,5272157,5272157
1,CHEMBL2835_Ki,0.1,1.0,0.5254887415303124,0.018339422650666,2890556,2889942
2,CHEMBL2835_Ki,0.1,1.5,0.525980066590839,0.0300675984600796,1895636,1895636
3,CHEMBL2835_Ki,0.1,2.0,0.5260042541556889,0.0219933301885872,1267685,1268237
4,CHEMBL2835_Ki,0.1,2.5,0.5250342335965898,0.0123286247979498,818882,818882
5,CHEMBL2835_Ki,0.1,3.0,0.5123243470986685,0.0215217166271547,487759,487942
6,CHEMBL2835_Ki,0.1,3.5,0.5394679764906565,0.0195600590718851,202623,202623
7,CHEMBL2835_Ki,0.1,4.0,0.501912983920839,0.012608197318692,11208,11163
8,CHEMBL2835_Ki,0.59,4.0,0.5024640056822035,0.0103282131533052,75682,75628
9,CHEMBL2835_Ki,1.08,4.0,0.5348827706442939,0.0120348789911682,112373,112361
10,CHEMBL2835_Ki,1.56,4.0,0.5218986054261525,0.0200129491579137,130747,130744
11,CHEMBL2835_Ki,2.05,4.0,0.5094284825854831,0.0107419567740068,144856,144865
12,CHEMBL2835_Ki,2.54,4.0,0.5198727369308472,0.0120515594430236,158833,158845
13,CHEMBL2835_Ki,3.03,4.0,0.5190495921505822,0.018789100995868,177268,177301
14,CHEMBL2835_Ki,3.51,4.0,0.5235971901151868,0.0115686924088725,212092,212131
0,CHEMBL2971_Ki,0.1,0.5,0.7078500469525655,0.0113394306957902,17698211,17747144
